labels	source	f	m	kw_s	kw_f	kw_m	data_split
QUES;SCMP;SUBJ;PROF;PLUR	But how can the public have confidence in the currency when politicians are not courageous enough to back it?	Pero, ¿cómo se va a fiar el público de una moneda cuya legitimidad no se atreven a defender las políticas?	Pero, ¿cómo se va a fiar el público de una moneda cuya legitimidad no se atreven a defender los políticos?	politicians	las [políticas]	los [políticos]	dev
SUBJ;PROF	Otherwise, the installer selects a set of unique ports that is available on all the hosts.	De lo contrario, la instaladora seleccionará un conjunto de puertos exclusivo que esté disponible en todos los sistemas principales.	De lo contrario, el instalador seleccionará un conjunto de puertos exclusivo que esté disponible en todos los sistemas principales.	installer	la [instaladora]	el [instalador]	dev
QUES;SUBJ;POSS;POSC;PROF	What if our supplier for this part went out of business?	¿Y si nuestra proveedora de esta pieza quebrara?	¿Y si nuestro proveedor de esta pieza quebrara?	our [supplier]	nuestra [proveedora]	nuestro [proveedor]	dev
SUBJ;OTH	Each adult passenger may carry one infant.	Cada pasajera adulta puede llevar un bebé.	Cada pasajero adulto puede llevar un bebé.	each adult [passenger]	cada [pasajera] adulta	cada [pasajero] adulto	dev
RSCMP;PROF;RSCMP;PROF;INDF	Plays the role in the band of a keyboardist, songwriter and producer.	Su papel en la banda es pianista, compositora y productora.	Su papel en la banda es pianista, compositor y productor.	songwriter=producer	compositora=productora	compositor=productor	dev
SUBJ;OTH;PLUR;AATR;PLUR	Some patients are not sure how or where they became infected.	Algunas enfermas no están seguras cómo ni dónde se infectaron.	Algunos enfermos no están seguros cómo ni dónde se infectaron.	some [patients]=sure	algunas [enfermas]=seguras	algunos [enfermos]=seguros	dev
SUBJ;DROP;AATR;PPA	But I'm concerned that you're a little like me.	Pero estoy preocupada que eres un poco como yo.	Pero estoy preocupado que eres un poco como yo.	I=concerned	(yo)=preocupada	(yo)=preocupado	dev
SUBJ;POSS;POSC;PROF;ANAN;PLUR	One of our banking specialist will give you supporting forms to complete and will assist you with obtaining a new debit card and/or credit card.	Una de nuestras especialistas bancarias le dará los formularios que necesita completar y le ayudará a obtener una nueva tarjeta de débito o de crédito.	Uno de nuestros especialistas bancarios le dará los formularios que necesita completar y le ayudará a obtener una nueva tarjeta de débito o de crédito.	one of our banking [specialist]	una de nuestras [especialistas] bancarias	uno de nuestros [especialistas] bancarios	dev
SUBJ;AATR;AATR	You, be brave and honest and merciful as you have always been.	Tú, sé valiente y honesta y compasiva como siempre lo has sido.	Tú, sé valiente y honesto y compasivo como siempre lo has sido.	you=honest=merciful	tú=honesta=compasiva	tú=honesto=compasivo	dev
FRAG;OPRP;PROF	The community partner's shareholding must be significant and, as a general rule, must be between 25% and 75% of the capital stock;	La participación de la socia comunitaria deber ser significativa y, por regla general, estar comprendida entre el 25 y el 75 % del capital social;	La participación del socio comunitario deber ser significativa y, por regla general, estar comprendida entre el 25 y el 75 % del capital social;	community [partner]'s	de la [socia] comunitaria	del [socio] comunitario	dev
SUBJ;PROF	I went to the medical center and the doctor told me it was very possible that it was zika .	Fui al centro médico y la doctora me dijo que era muy posible que fuera zika.	Fui al centro médico y el doctor me dijo que era muy posible que fuera zika.	doctor	la [doctora]	el [doctor]	dev
SCMP;SUBJ;PROF	The first thing is that this salesperson can record information about a potential customer and others in your organization can see it.	Lo primero es que esta vendedora puede registrar información sobre un cliente potencial y otras personas en su organización pueden verlo.	Lo primero es que este vendedor puede registrar información sobre un cliente potencial y otras personas en su organización pueden verlo.	this [salesperson]	esta [vendedora]	este [vendedor]	dev
SUBJ;PROF;PLUR	The workers of my country are finding only thorns, and resting on thorns is not very easy.	Espinas es lo que encuentran las trabajadoras de mi país, y sobre ellas es un tanto difícil dormirse.	Espinas es lo que encuentran los trabajadores de mi país, y sobre ellas es un tanto difícil dormirse.	workers	las [trabajadoras]	los [trabajadores]	dev
SUBJ;NAT;PROF	An American soldier came to me and asked me if I knew how to pray.	Una soldado americana se acercó a mí y me preguntó si yo sabía cómo rezar.	Un soldado americano se acercó a mí y me preguntó si yo sabía cómo rezar.	american [soldier]	una [soldado] americana	un [soldado] americano	dev
SUBJ;NAT	The Salvadoran who wants to popularize tea in Central America, a region known for its delicious coffee.	La salvadoreña que quiere popularizar el té en Centroamérica, una región conocida por su café delicioso.	El salvadoreño que quiere popularizar el té en Centroamérica, una región conocida por su café delicioso.	salvadoran	la [salvadoreña]	el [salvadoreño]	dev
OPRP;PROF	If you find bats in your home, contact the rehabilitator at a nearby center for assistance.	Si encuentras murciélagos en tu casa, comunícate con la rehabilitadora del centro cercano para pedirle ayuda.	Si encuentras murciélagos en tu casa, comunícate con el rehabilitador del centro cercano para pedirle ayuda.	rehabilitator	la [rehabilitadora]	el [rehabilitador]	dev
SUBJ;OTH;PLUR;RSCMP;FAM;PLUR	The pedestrians were his two siblings.	Las peatonas fueron sus dos hermanas.	Los peatones fueron sus dos hermanos.	pedestrians=siblings	las [peatonas]=hermanas	los [peatones]=hermanos	dev
SUBJ;PROF;PLUR;AATR;PPA;PLUR	The two most important players were injured.	Las dos jugadoras más importantes estaban lesionadas.	Los dos jugadores más importantes estaban lesionados.	two most important [players]=injured	las dos [jugadoras] más importantes=lesionadas	los dos [jugadores] más importantes=lesionados	dev
FRAG;SUBJ;PROF	The designer as a team of one.	La diseñadora como equipo de uno.	El diseñador como equipo de uno.	designer	la [diseñadora]	el [diseñador]	dev
SUBJ;OTH;RSCMP;PPA;NAT;PROF	The winner of the talent show was the unknown argentinian writer.	La ganadora del concurso de talentos fue la desconocida escritora argentina.	El ganador del concurso de talentos fue el desconocido escritor argentino.	winner=unknown argentinian [writer]	la [ganadora]=la desconocida [escritora] argentina	el [ganador]=el desconocido [escritor] argentino	dev
SUBJ;DROP;PLUR;AATR;PLUR	They are hungry for real inspiration.	Están hambrientas de inspiración real.	Están hambrientos de inspiración real.	they=hungry	(ellas)=hambrientas	(ellos)=hambrientos	dev
SUBJ;APRD	Yes. I've had a crush on you since we met.	Yo quedé enloquecida contigo desde que te conocí.	Yo quedé enloquecido contigo desde que te conocí.	I=enloquecida	yo=enloquecida	yo=enloquecido	dev
SUBJ;DROP;RSCMP;NAT	I am Salvadoran, my aunt has several nationalities: Portuguese and Scottish.	Soy salvadoreña, mi tía tiene varias nacionalidades: portuguesa y escocesa.	Soy salvadoreño, mi tía tiene varias nacionalidades: portuguesa y escocesa.	I=salvadorian	(yo)=salvadoreña	(yo)=salvadoreño	dev
SUBJ;PROF;PLUR	Some Members cannot warm to the idea of an independent central bank.	Algunas diputadas no pueden acostumbrarse al concepto de banco central independiente.	Algunos diputados no pueden acostumbrarse al concepto de banco central independiente.	some [members]	algunas [diputadas]	algunos [diputados]	dev
SUBJ;PROF;PLUR	There, all senior managers have to undergo gender training before they can occupy a senior position.	Allí absolutamente todas las gerentes superiores, antes de desempeñar un cargo directivo, deben recibir capacitación sobre cuestiones de género.	Allí absolutamente todos los gerentes superiores, antes de desempeñar un cargo directivo, deben recibir capacitación sobre cuestiones de género.	all senior [managers]	todas las [gerentes] superiores	todos los [gerentes] superiores	dev
SUBJ;PROF;PPA;PLUR;DIFF	Moreover, employees who are required to wear work attire or a uniform may be subject to stricter prohibitions on the wearing of visible religious symbols than persons who are largely free to choose the clothes they wear to work.	Y para las trabajadoras obligadas a llevar una ropa de trabajo, o incluso un uniforme, pueden aplicárseles exigencias aún más estrictas en cuanto al uso de signos religiosos visibles que a las personas que gozan de una amplia libertad para elegir la vestimenta con la que se presentan en el trabajo.	Y para los trabajadores obligados a llevar una ropa de trabajo, o incluso un uniforme, pueden aplicárseles exigencias aún más estrictas en cuanto al uso de signos religiosos visibles que a las personas que gozan de una amplia libertad para elegir la vestimenta con la que se presentan en el trabajo.	employees=required	las [trabajadoras] obligadas	los [trabajadores] obligados	dev
DOBJ;FAM;PLUR	To my friends for putting up with me while I studied and for making the time more enjoyable.	A mis amigas por aguantarme mientras estudiaba y por hacer el tiempo más ameno.	A mis amigos por aguantarme mientras estudiaba y por hacer el tiempo más ameno.	friends	amigas	amigos	dev
DOBJ;PROF	We hired a professional photographer for our wedding, who did an amazing job.	Contratamos a una fotógrafa profesional para nuestra boda que hizo un trabajo increíble.	Contratamos a un fotógrafo profesional para nuestra boda que hizo un trabajo increíble.	professional [photographer]	una [fotógrafa] profesional	un [fotógrafo] profesional	dev
SUBJ;PROF;PLUR	Most psychologists who study success study intelligence.	La mayoría de las psicólogas que estudian el éxito estudian la inteligencia.	La mayoría de los psicólogos que estudian el éxito estudian la inteligencia.	psychologists	las [psicólogas]	los [psicólogos]	dev
OPRP;NAT;PROF;PLUR	Now, an incredible new discovery by Japanese researchers has the world of animal reproduction waiting for more results.	Ahora, un nuevo e increíble descubrimiento por parte de investigadoras japonesas tienen al mundo de la reproducción animal en espera de más resultados.	Ahora, un nuevo e increíble descubrimiento por parte de investigadores japoneses tienen al mundo de la reproducción animal en espera de más resultados.	japanese [researchers]	[investigadoras] japonesas	[investigadores] japoneses	dev
SUBJ;REL;PLUR;APRD;PLUR	Pilgrims arrived hungry.	Las peregrinas llegaban hambrientas.	Los peregrinos llegaban hambrientos.	pilgrims=hungry	las [peregrinas]=hambrientas	los [peregrinos]=hambrientos	dev
SUBJ;PROF;PLUR	Two extraordinaire bilingual national park naturalist guides will show you the wonders of the Galapagos.	Dos extraordinarias guías naturalistas bilingües del Parque Nacional le mostrarán las maravillas de las Galápagos.	Dos extraordinarios guías naturalistas bilingües del Parque Nacional le mostrarán las maravillas de las Galápagos.	extraordinaire bilingual national park naturalist [guides]	extraordinarias [guías] naturalistas bilingües del Parque Nacional	extraordinarios [guías] naturalistas bilingües del Parque Nacional	dev
QUES;SCMP;SUBJ;DROP;SCMP;AATR	What to do when you're angry at someone.	Qué hacer cuando estás molesta con alguien.	Qué hacer cuando estás molesto con alguien.	you=angry	(tú)=molesta	(tú)=molesto	dev
SCMP;SUBJ;PROF	He knew the woodcutter had never seen anything like this watch.	Sabía que la leñadora nunca había visto algo como ese reloj.	Sabía que el leñador nunca había visto algo como ese reloj.	woodcutter	la [leñadora]	el [leñador]	dev
SUBJ;PROF;PLUR;AATR;ANAN;PLUR	Journalists in the country are very anxious.	Las periodistas del país están muy inquietas.	Los periodistas del país están muy inquietos.	journalists=very anxious	las [periodistas]=muy inquietas	los [periodistas]=muy inquietos	dev
