labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PLUR;FAM;ANAN;DFCL;OPRP;PROF	Even if their compatriot did not get much success, the music and creativity of these violinists are recognized.	Même si leur compatriote n’a pas eu beaucoup de succès, la musique et la créativité de ces violonistes sont reconnues.	Même si leur compatriote n’a pas eu beaucoup de succès, la musique et la créativité de ces violonistes sont reconnues.	Même si leur compatriote n’a pas eu beaucoup de succès, la musique et la créativité de ces violonistes sont reconnues.	Même si leur compatriote n’a pas eu beaucoup de succès, la musique et la créativité de ces violonistes sont reconnues.	compatriot;violinists	compatriote;violonistes	compatriote;violonistes
PLUR;IOBJ;PROF;GLNK	It gives composers and instrumentalists an outlet to create music.	Il donne aux compositrices et instrumentistes un débouché pour créer de la musique.	Il donne aux compositrices et instrumentistes un débouché pour créer de la musique.	Il donne aux compositeurs et instrumentistes un débouché pour créer de la musique.	Il donne aux compositeurs et instrumentistes un débouché pour créer de la musique.	composers;instrumentalists	compositrices;instrumentistes	compositeurs;instrumentistes
SUBJ;PLUR;OTH;GLNK	Compulsive liars or experts in self-deception?	Des menteuses compulsives ou expertes en aveuglement?	Des menteuses compulsives ou experts en aveuglement?	Des menteurs compulsifs ou expertes en aveuglement?	Des menteurs compulsifs ou experts en aveuglement?	compulsive [liars];experts	[menteuses] compulsives;expertes	[menteurs] compulsifs;experts
ANAN;SUBJ;PLUR;FAM;GLNK	Comrades and mates who would like to help may also find these useful.	Les camarades et copines qui aimeraient aider pourraient également trouver ceux-ci utiles.	Les camarades et copains qui aimeraient aider pourraient également trouver ceux-ci utiles.	Les camarades et copines qui aimeraient aider pourraient également trouver ceux-ci utiles.	Les camarades et copains qui aimeraient aider pourraient également trouver ceux-ci utiles.	comrades;mates	camarades;copines	camarades;copains
PLUR;DOBJ;FAM;ANAN;IOBJ;IMPR;IPRO	Simply send an email to your comrades from your own account, then follow each.	Envoyez simplement un email à vos camarades depuis votre propre compte, puis suivez chacune.	Envoyez simplement un email à vos camarades depuis votre propre compte, puis suivez chacun.	Envoyez simplement un email à vos camarades depuis votre propre compte, puis suivez chacune.	Envoyez simplement un email à vos camarades depuis votre propre compte, puis suivez chacun.	comrades;each	camarades;chacune	camarades;chacun
PLUR;PROF;DOBJ;ANAN;IMPR;GLNK	Use the yellow pages to contact connoisseurs and appreciators.	Utilisez les pages jaunes pour contacter les connaisseuses et appréciatrices.	Utilisez les pages jaunes pour contacter les connaisseuses et appréciateurs.	Utilisez les pages jaunes pour contacter les connaisseurs et appréciatrices.	Utilisez les pages jaunes pour contacter les connaisseurs et appréciateurs.	connoisseurs;appreciators	connaisseuses;appréciatrices	connaisseurs;appréciateurs
SUBJ;PLUR;OTH;GLNK	These consumers and the others use coupons.	Ces consommatrices et les autres utilisent des coupons.	Ces consommatrices et les autres utilisent des coupons.	Ces consommateurs et les autres utilisent des coupons.	Ces consommateurs et les autres utilisent des coupons.	consumers;others	consommatrices;autres	consommateurs;autres
PLUR;DOBJ;ANAN;IOBJ;OTH;IPRO	Giving less control to consumers might be an excellent way to counter the abundance of choice and make some happier.	Donner moins de contrôle aux consommatrices pourrait être un excellent moyen de contrer l’abondance de choix et de rendre certaines plus heureuses.	Donner moins de contrôle aux consommatrices pourrait être un excellent moyen de contrer l’abondance de choix et de rendre certains plus heureux.	Donner moins de contrôle aux consommateurs pourrait être un excellent moyen de contrer l’abondance de choix et de rendre certaines plus heureuses.	Donner moins de contrôle aux consommateurs pourrait être un excellent moyen de contrer l’abondance de choix et de rendre certains plus heureux.	consumers;[some] happier	consommatrices;certaines=heureuses	consommateurs;certains=heureux
SUBJ;PLUR;IOBJ;OTH;AATR	Contributors may provide examples and clarifications to other readers.	Les contributrices peuvent fournir des exemples et éclaircissements aux autres lectrices.	Les contributrices peuvent fournir des exemples et éclaircissements aux autres lecteurs.	Les contributeurs peuvent fournir des exemples et éclaircissements aux autres lectrices.	Les contributeurs peuvent fournir des exemples et éclaircissements aux autres lecteurs.	contributors;readers	contributrices;lectrices	contributeurs;lecteurs
SUBJ;PROF;GLNK	The corporal or brigadier can handle cases like that.	La caporale ou la brigadière peut s’occuper de ce genre de cas.	La caporale ou le brigadier peut s’occuper de ce genre de cas.	Le caporal ou la brigadière peut s’occuper de ce genre de cas.	Le caporal ou le brigadier peut s’occuper de ce genre de cas.	corporal;brigadier	la [caporale];la [brigadière]	le [caporal];le [brigadier]
ANAN;SUBJ;PROF;GLNK	If a counselor or psychologist has provided a booklet, it might be helpful to read the text in their presence.	Si une conseillère ou psychologue a fourni un livret, il serait peut-être utile de lire le texte en sa présence.	Si une conseillère ou psychologue a fourni un livret, il serait peut-être utile de lire le texte en sa présence.	Si un conseiller ou psychologue a fourni un livret, il serait peut-être utile de lire le texte en sa présence.	Si un conseiller ou psychologue a fourni un livret, il serait peut-être utile de lire le texte en sa présence.	counselor;psychologist	une [conseillère];psychologue	un [conseiller];psychologue
SUBJ;PLUR;FAM;PERS	Their counterparts earned more than them.	Leurs homologues ont gagné plus qu’elles.	Leurs homologues ont gagné plus qu’eux.	Leurs homologues ont gagné plus qu’elles.	Leurs homologues ont gagné plus qu’eux.	counterparts;them	homologues;elles	homologues;eux
ANAN;SUBJ;PLUR;OTH;GLNK	Cyber criminals and hackers have started to look for greener pastures.	Les cybercriminelles et hackeuses ont commencé à chercher des pâturages plus verts.	Les cybercriminelles et hackeurs ont commencé à chercher des pâturages plus verts.	Les cybercriminels et hackeuses ont commencé à chercher des pâturages plus verts.	Les cybercriminels et hackeurs ont commencé à chercher des pâturages plus verts.	criminals;hackers	cybercriminelles;hackeuses	cybercriminels;hackeurs
SUBJ;PLUR;SCMP;ANAN;NAT;PROF	Cultivators like this Senegalese are using this resource to enhance their productive activities.	Des cultivatrices comme cette Sénégalaise utilisent cette ressource pour améliorer leurs activités productives.	Des cultivatrices comme ce Sénégalais utilisent cette ressource pour améliorer leurs activités productives.	Des cultivateurs comme cette Sénégalaise utilisent cette ressource pour améliorer leurs activités productives.	Des cultivateurs comme ce Sénégalais utilisent cette ressource pour améliorer leurs activités productives.	cultivators;this [Senegalese]	cultivatrices;cette [Sénégalaise]	cultivateurs;ce [Sénégalais]
SUBJ;PLUR;PROF;DFCL;OTH;AATR	The curator explained that the generous donors will exhibit more art.	La conservatrice a expliqué que les généreuses donatrices exposeront davantage d’art.	La conservatrice a expliqué que les généreux donateurs exposeront davantage d’art.	Le conservateur a expliqué que les généreuses donatrices exposeront davantage d’art.	Le conservateur a expliqué que les généreux donateurs exposeront davantage d’art.	curator;generous [donors]	la [conservatrice];généreuses [donatrices]	le [conservateur];généreux [donateurs]
SUBJ;OTH;NAT;OPRP	The Czech made a fortune in 1998 while working with a maven.	La Tchèque a fait fortune en 1998 en travaillant avec une crack.	La Tchèque a fait fortune en 1998 en travaillant avec un crack.	Le Tchèque a fait fortune en 1998 en travaillant avec une crack.	Le Tchèque a fait fortune en 1998 en travaillant avec un crack.	Czech;maven	la [Tchèque];une [crack]	le [Tchèque];un [crack]
SUBJ;PLUR;PROF;DOBJ;ANAN	Delegates will be selecting the deputies using electronic voting.	Les déléguées sélectionneront les adjointes par vote électronique.	Les déléguées sélectionneront les adjoints par vote électronique.	Les délégués sélectionneront les adjointes par vote électronique.	Les délégués sélectionneront les adjoints par vote électronique.	delegates;deputies	déléguées;adjointes	délégués;adjoints
ANAN;SUBJ;PROF;GLNK	Modeling helps to prepare a customized denture, then dentist and modeler decide together what the new denture will look like or how it will be positioned, and so on.	La modélisation aide à préparer des dentiers personnalisés, puis la dentiste et la modeleuse décident ensemble à quoi vont ressembler les nouveaux dentiers ou comment ils seront positionnés, et ainsi de suite.	La modélisation aide à préparer des dentiers personnalisés, puis la dentiste et le modeleur décident ensemble à quoi vont ressembler les nouveaux dentiers ou comment ils seront positionnés, et ainsi de suite.	La modélisation aide à préparer des dentiers personnalisés, puis le dentiste et la modeleuse décident ensemble à quoi vont ressembler les nouveaux dentiers ou comment ils seront positionnés, et ainsi de suite.	La modélisation aide à préparer des dentiers personnalisés, puis le dentiste et le modeleur décident ensemble à quoi vont ressembler les nouveaux dentiers ou comment ils seront positionnés, et ainsi de suite.	dentist;modeler	la [dentiste];la [modeleuse]	le [dentiste];le [modeleur]
SUBJ;PLUR;SCMP;FAM;ANAN;OTH	Your descendants will live as foreigners in their own land.	Vos descendantes vivront comme des étrangères sur leur propre terre.	Vos descendantes vivront comme des étrangers sur leur propre terre.	Vos descendants vivront comme des étrangères sur leur propre terre.	Vos descendants vivront comme des étrangers sur leur propre terre.	descendants;foreigners	descendantes;étrangères	descendants;étrangers
SUBJ;PLUR;PROF;ANAN;OPRP;PERS	The designer of Apple's new computer is with them.	La conceptrice du nouvel ordinateur d’Apple est avec elles.	La conceptrice du nouvel ordinateur d’Apple est avec eux.	Le concepteur du nouvel ordinateur d’Apple est avec elles.	Le concepteur du nouvel ordinateur d’Apple est avec eux.	designer;them	la [conceptrice];elles	le [concepteur];eux
SUBJ;PLUR;PROF;IOBJ;DFCL;OTH	That's the kind of analysis that detractors have stopped investing in and prefer to leave to marketers.	C’est le genre d’analyse dans lequel les détractrices ont cessé d’investir et préfèrent laisser aux marketeuses.	C’est le genre d’analyse dans lequel les détractrices ont cessé d’investir et préfèrent laisser aux marketeurs.	C’est le genre d’analyse dans lequel les détracteurs ont cessé d’investir et préfèrent laisser aux marketeuses.	C’est le genre d’analyse dans lequel les détracteurs ont cessé d’investir et préfèrent laisser aux marketeurs.	detractors;marketers	détractrices;marketeuses	détracteurs;marketeurs
ANAN;SUBJ;PROF;GLNK	The developer or technician can use it on several machines, at an office, on a laptop.	La développeuse ou technicienne peut l’utiliser sur plusieurs machines, au bureau, sur un portable.	La développeuse ou technicien peut l’utiliser sur plusieurs machines, au bureau, sur un portable.	Le développeur ou technicienne peut l’utiliser sur plusieurs machines, au bureau, sur un portable.	Le développeur ou technicien peut l’utiliser sur plusieurs machines, au bureau, sur un portable.	developer;technician	la [développeuse];technicienne	le [développeur];technicien
SUBJ;PLUR;REL;IOBJ;PROF	The dignitary gave permission to the Adventists to build a church.	La dignitaire a donné la permission aux adventistes de construire une église.	La dignitaire a donné la permission aux adventistes de construire une église.	Le dignitaire a donné la permission aux adventistes de construire une église.	Le dignitaire a donné la permission aux adventistes de construire une église.	dignitary;Adventists	la [dignitaire];adventistes	le [dignitaire];adventistes
